"","police","BLM","partyID"
"1190",100,100,1
"1191",59,2,4
"1192",30,100,2
"1193",70,60,4
"1194",100,0,7
"1195",97,0,5
"1196",92,1,5
"1197",60,10,5
"1198",-7,-7,1
"1199",50,60,1
"1200",71,0,7
"1201",-6,-6,5
"1202",77,35,7
"1203",70,100,4
"1204",40,70,3
"1205",70,31,7
"1206",100,0,1
"1207",99,53,1
"1208",85,15,7
"1209",100,0,5
"1210",-9,-9,1
"1211",85,40,5
"1212",-9,45,3
"1213",89,100,3
"1214",-6,-6,4
"1215",97,14,6
"1216",85,16,7
"1217",85,70,1
"1218",99,91,6
"1219",84,80,1
"1220",100,0,4
"1221",60,40,4
"1222",85,50,3
"1223",100,9,6
"1224",68,50,4
"1225",75,50,4
"1226",0,85,4
"1227",-6,-6,1
"1228",0,100,1
"1229",79,45,6
"1230",40,100,1
"1231",40,100,1
"1232",70,50,6
"1233",85,50,6
"1234",100,70,6
"1235",100,0,6
"1236",0,70,4
"1237",85,71,1
"1238",70,60,4
"1239",100,60,1
"1240",10,100,2
"1241",80,50,1
"1242",85,40,4
"1243",30,40,2
"1244",85,15,7
"1245",70,20,6
"1246",70,70,1
"1247",75,60,3
"1248",81,1,6
"1249",93,0,7
"1250",-6,-6,1
"1251",-7,-7,5
"1252",100,0,7
"1253",71,52,6
"1254",70,50,1
"1255",100,0,6
"1256",85,30,7
"1257",100,0,1
"1258",100,40,6
"1259",75,15,6
"1260",100,17,4
"1261",85,15,6
"1262",0,0,4
"1263",70,60,2
"1264",85,100,6
"1265",83,0,7
"1266",98,1,5
"1267",85,85,2
"1268",91,50,6
"1269",-7,-7,4
"1270",100,70,1
"1271",100,0,7
"1272",85,0,7
"1273",-7,-7,6
"1274",70,100,4
"1275",100,0,7
"1276",96,15,7
"1277",70,40,4
"1278",70,90,1
"1279",60,0,5
"1280",70,50,6
"1281",70,50,2
"1282",60,0,6
"1283",88,15,2
"1284",43,71,4
"1285",70,30,4
"1286",87,74,2
"1287",70,51,6
"1288",100,0,5
"1289",85,40,5
"1290",70,85,5
"1291",75,70,1
"1292",15,15,4
"1293",85,70,1
"1294",85,15,7
"1295",100,40,7
"1296",-6,-6,1
"1297",85,60,2
"1298",85,16,5
"1299",70,60,1
"1300",85,0,6
"1301",90,53,3
"1302",100,60,7
"1303",70,35,1
"1304",85,-9,6
"1305",70,65,6
"1306",40,60,1
"1307",85,70,3
"1308",-6,-6,4
"1309",90,15,7
"1310",90,30,7
"1311",100,0,7
"1312",70,40,4
"1313",60,70,1
"1314",-6,-6,1
"1315",-6,-6,1
"1316",100,100,3
"1317",71,100,1
"1318",70,70,2
"1319",-6,-6,4
"1320",100,50,1
"1321",100,80,1
"1322",61,42,4
"1323",70,0,3
"1324",88,67,5
"1325",-6,-6,1
"1326",100,85,4
"1327",71,15,7
"1328",97,2,5
"1329",15,85,3
"1330",70,100,1
"1331",85,76,1
"1332",15,60,4
"1333",-6,-6,3
"1334",92,2,7
"1335",-6,-6,7
"1336",70,16,5
"1337",-6,-6,2
"1338",-6,-6,4
"1339",72,43,4
"1340",100,0,7
"1341",100,0,7
"1342",72,84,4
"1343",-6,-6,7
"1344",70,15,6
"1345",80,60,3
"1346",85,82,2
"1347",71,71,2
"1348",70,30,3
"1349",-6,-6,4
"1350",100,1,7
"1351",100,50,2
"1352",0,70,4
"1353",70,100,1
"1354",85,85,1
"1355",-6,-6,2
"1356",94,16,5
"1357",70,100,1
"1358",-6,-6,2
"1359",-6,-6,2
"1360",-7,-7,2
"1361",-6,-6,3
"1362",95,100,3
"1363",60,40,2
"1364",50,50,5
"1365",85,30,3
"1366",-6,-6,3
"1367",-6,-6,2
"1368",100,0,7
"1369",100,1,4
"1370",-6,-6,7
"1371",85,0,5
"1372",87,2,4
"1373",100,60,4
"1374",70,0,5
"1375",100,0,7
"1376",15,100,1
"1377",85,85,1
"1378",86,18,3
"1379",91,41,1
"1380",100,0,5
"1381",92,41,4
"1382",85,100,1
"1383",60,50,1
"1384",80,5,5
"1385",-6,-6,7
"1386",85,30,4
"1387",-6,-6,1
"1388",-6,-6,4
"1389",85,50,4
"1390",75,0,6
"1391",72,31,1
"1392",-6,-6,7
"1393",-7,-7,4
"1394",85,51,5
"1395",83,71,1
"1396",60,30,5
"1397",100,100,7
"1398",100,16,7
"1399",90,50,1
"1400",100,0,6
"1401",99,3,2
"1402",30,0,6
"1403",60,60,3
"1404",85,15,2
"1405",70,85,1
"1406",95,10,1
"1407",-7,-7,7
"1408",-6,-6,7
"1409",85,2,5
"1410",-6,-6,7
"1411",85,85,4
"1412",-6,-6,4
"1413",41,2,7
"1414",50,0,4
"1415",100,0,1
"1416",87,75,2
"1417",90,40,5
"1418",100,1,7
"1419",70,60,5
"1420",77,33,5
"1421",30,40,4
"1422",85,85,2
"1423",85,50,1
"1424",85,50,2
"1425",85,70,3
"1426",-7,-7,7
"1427",100,0,4
"1428",85,60,7
"1429",30,50,1
"1430",70,50,2
"1431",100,85,6
"1432",70,15,5
"1433",53,40,2
"1434",70,70,2
"1435",69,96,1
"1436",91,41,1
"1437",15,50,1
"1438",70,0,3
"1439",50,40,4
"1440",93,67,6
"1441",70,15,4
"1442",-6,-6,1
"1443",97,41,6
"1444",85,51,4
"1445",-6,-6,1
"1446",75,66,1
"1447",60,85,3
"1448",85,60,1
"1449",-6,-6,7
"1450",80,50,6
"1451",-6,-6,2
"1452",51,60,1
"1453",70,68,2
"1454",100,0,6
"1455",99,50,6
"1456",0,50,1
"1457",90,0,7
"1458",-6,-6,5
